chembl	schembl_id	name
CHEMBL3969562	SCHEMBL15771072	CHEMBL3969562
CHEMBL3898359	SCHEMBL15770952	CHEMBL3898359
CHEMBL3973392	SCHEMBL15771662	CHEMBL3973392
CHEMBL603469	SCHEMBL1649693	Lestaurtinib
CHEMBL535	SCHEMBL8081	Sunitinib
CHEMBL1721885	SCHEMBL902507	452105-23-6
CHEMBL450786	SCHEMBL93654	PHA-665752
CHEMBL573339	SCHEMBL258242	PI-103
CHEMBL1230609	SCHEMBL371804	Foretinib
CHEMBL1287853	SCHEMBL263741	Fedratinib
CHEMBL300138	SCHEMBL678748	Enzastaurin
CHEMBL521851	SCHEMBL190812	957054-30-7
CHEMBL574738	SCHEMBL1684259	AST 487
CHEMBL494089	SCHEMBL310452	937174-76-0
CHEMBL388978	SCHEMBL8157	staurosporine
CHEMBL2003638	SCHEMBL4294025	Kinome_1067
CHEMBL1970821	SCHEMBL1044646	Kinome_328
CHEMBL1682554	SCHEMBL3632148	CHEMBL1682554
CHEMBL1980297	SCHEMBL3381224	ILORASERTIB
CHEMBL1964290	SCHEMBL1133482	Kinome_3726
CHEMBL213505	SCHEMBL3109029	CHEMBL213505
CHEMBL1987034	SCHEMBL20006842	Kinome_1198
CHEMBL1964288	SCHEMBL3665675	Kinome_1117
CHEMBL1986263	SCHEMBL2085015	Kinome_1318
CHEMBL1971172	SCHEMBL1045430	Kinome_127
CHEMBL2005718	SCHEMBL1046453	Kinome_132
CHEMBL2003286	SCHEMBL1248758	5-[(4-hydroxy-3-methoxyphenyl)methylidene]-1,3-thiazolidine-2,4-dione
CHEMBL1998585	SCHEMBL546436	1-[4-(4-Aminothieno[2,3-D]pyrimidin-5-Yl)phenyl]-3-[2-Fluoro-5-(Trifluoromethyl)phenyl]urea
CHEMBL184847	SCHEMBL1333150	CHEMBL184847
CHEMBL1985723	SCHEMBL1046787	Kinome_126
CHEMBL539474	SCHEMBL3078963	CHEMBL539474
CHEMBL1988387	SCHEMBL19996024	Kinome_452
CHEMBL1965702	SCHEMBL1044784	Kinome_150
CHEMBL1964340	SCHEMBL1044971	Kinome_337
CHEMBL1967662	SCHEMBL1048268	Kinome_348
CHEMBL2005828	SCHEMBL3117554	Kinome_518
CHEMBL1336	SCHEMBL8218	Sorafenib
CHEMBL1980178	SCHEMBL1043470	Kinome_227
CHEMBL1973098	SCHEMBL2199252	5-(4-Hydroxy-3-methoxybenzylidene)rhodanine
CHEMBL1981079	SCHEMBL1208545	Kinome_2520
CHEMBL513846	SCHEMBL1684637	Kinome_3524
CHEMBL1965660	SCHEMBL1133999	CHEMBL1965660
CHEMBL1972290	SCHEMBL1041172	Kinome_131
CHEMBL1964777	SCHEMBL7053671	Kinome_2696
CHEMBL1980995	SCHEMBL14264595	62996-74-1
CHEMBL1972339	SCHEMBL4298368	Kinome_1086
CHEMBL1990821	SCHEMBL4154389	Kinome_2978
CHEMBL411903	SCHEMBL1719115	CHEMBL411903
CHEMBL1980253	SCHEMBL1049814	Kinome_128
CHEMBL1965988	SCHEMBL3528875	Kinome_463
CHEMBL225519	SCHEMBL4767679	PHA-767491
CHEMBL1964692	SCHEMBL1703583	N-[4-(3-amino-1-methyl-1H-pyrazolo[3,4-c]pyridin-4-yl)phenyl]-N'-[3-(trifluoromethyl)phenyl]urea
CHEMBL1998470	SCHEMBL1046096	Kinome_308
CHEMBL1996980	SCHEMBL1081514	Kinome_239
CHEMBL1969920	SCHEMBL1044740	Kinome_253
CHEMBL482967	SCHEMBL2074998	693228-63-6
CHEMBL458997	SCHEMBL375524	761437-28-9
CHEMBL1974310	SCHEMBL7050653	Kinome_2519
CHEMBL1982660	SCHEMBL10008553	A 1070722
CHEMBL2002346	SCHEMBL8939619	Kinome_38
CHEMBL220241	SCHEMBL1838346	GSK269962A
CHEMBL1994438	SCHEMBL1044073	Kinome_258
CHEMBL1682553	SCHEMBL3633638	CHEMBL1682553
CHEMBL592030	SCHEMBL10214102	CHEMBL592030
CHEMBL1974250	SCHEMBL2456767	Kinome_1169
CHEMBL1979883	SCHEMBL3531600	CHEMBL1979883
CHEMBL1988331	SCHEMBL1046003	Kinome_304
CHEMBL1998432	SCHEMBL1049953	Kinome_125
CHEMBL371206	SCHEMBL4474215	Thienopyrimidine deriv. 26
CHEMBL213207	SCHEMBL3779871	CHEMBL213207
CHEMBL2000335	SCHEMBL4472667	Kinome_458
CHEMBL1084546	SCHEMBL1206959	PF-562271
CHEMBL1974328	SCHEMBL6158559	Kinome_2079
CHEMBL1982980	SCHEMBL4168174	Kinome_2984
CHEMBL1969473	SCHEMBL3667859	Kinome_1112
CHEMBL1985654	SCHEMBL1042739	Kinome_294
CHEMBL1241473	SCHEMBL4022429	CHEMBL1241473
CHEMBL1978448	SCHEMBL3082011	Kinome_2343
CHEMBL1987793	SCHEMBL2201257	Kinome_2976
CHEMBL1967531	SCHEMBL4486611	Kinome_431
CHEMBL497151	SCHEMBL5550473	CHEMBL497151
CHEMBL1995712	SCHEMBL14905685	Kinome_311
CHEMBL2006439	SCHEMBL1044941	Kinome_28
CHEMBL1969190	SCHEMBL422865	Kinome_765
CHEMBL475251	SCHEMBL1200144	841290-80-0
CHEMBL1981725	SCHEMBL1787648	Kinome_708
CHEMBL1965570	SCHEMBL3529252	Kinome_433
CHEMBL2005387	SCHEMBL1044472	Kinome_299
CHEMBL1982400	SCHEMBL3673460	Kinome_1111
CHEMBL1972988	SCHEMBL12798668	Kinome_259
CHEMBL1987448	SCHEMBL1043673	Kinome_248
CHEMBL1682552	SCHEMBL3634019	CHEMBL1682552
CHEMBL1970903	SCHEMBL19859268	552326-17-7
CHEMBL526133	SCHEMBL385584	CHEMBL526133
CHEMBL1984586	SCHEMBL3110624	Kinome_577
CHEMBL272453	SCHEMBL419633	Kinome_2199
CHEMBL1969588	SCHEMBL1044049	Kinome_10
CHEMBL1967878	SCHEMBL352432	AS-703569;R-763
CHEMBL1992634	SCHEMBL1516750	5-bromo-3-phenyl-1H-pyrrolo[2,3-b]pyridine
CHEMBL1988594	SCHEMBL5478260	Kinome_548
CHEMBL1982271	SCHEMBL6127216	Kinome_249
CHEMBL385478	SCHEMBL1047198	CHEMBL385478
CHEMBL379975	SCHEMBL5828030	Wee1 Inhibitor I
CHEMBL1979577	SCHEMBL3533678	CHEMBL1979577
CHEMBL1998121	SCHEMBL1060766	Kinome_1335
CHEMBL1996649	SCHEMBL14633336	Kinome_507
CHEMBL1989006	SCHEMBL1042785	Kinome_327
CHEMBL1996339	SCHEMBL1045952	Kinome_277
CHEMBL1999931	SCHEMBL3667778	CHEMBL1999931
CHEMBL1987948	SCHEMBL1042928	Kinome_151
CHEMBL1979093	SCHEMBL1347618	Kinome_547
CHEMBL1994830	SCHEMBL7053779	Kinome_3359
CHEMBL1977223	SCHEMBL3666733	Kinome_1078
CHEMBL1968930	SCHEMBL1045441	Kinome_192
CHEMBL2062563	SCHEMBL17502148	CHEMBL2062563
CHEMBL2062564	SCHEMBL17502140	CHEMBL2062564
CHEMBL2062565	SCHEMBL17502120	CHEMBL2062565
CHEMBL2062575	SCHEMBL17502147	CHEMBL2062575
CHEMBL2062585	SCHEMBL17502155	CHEMBL2062585
CHEMBL3103192	SCHEMBL15286132	CHEMBL3103192
CHEMBL1289601	SCHEMBL864638	Lenvatinib
CHEMBL2105717	SCHEMBL360795	Cabozantinib
CHEMBL1171837	SCHEMBL589260	PONATINIB
CHEMBL4473213	SCHEMBL17315096	CHEMBL4473213
CHEMBL2409106	SCHEMBL16848290	ML297
CHEMBL1421	SCHEMBL8226	Dasatinib
CHEMBL608533	SCHEMBL8295379	Midostaurin
CHEMBL1240703	SCHEMBL15275183	(S)-3-Hydroxy Midostaurin
CHEMBL386051	SCHEMBL256712	260415-63-2
CHEMBL601719	SCHEMBL93829	Crizotinib
CHEMBL509032	SCHEMBL282775	761439-42-3
CHEMBL1908395	SCHEMBL2942760	885692-52-4
CHEMBL288441	SCHEMBL158390	Bosutinib
CHEMBL191003	SCHEMBL1060773	JNJ-7706621
CHEMBL939	SCHEMBL7866	Gefitinib
CHEMBL572878	SCHEMBL614528	Tozasertib
CHEMBL10	SCHEMBL95208	152121-47-6
CHEMBL406845	SCHEMBL375322	172889-27-9
CHEMBL1998953	SCHEMBL3535044	Kinome_1028
CHEMBL564829	SCHEMBL619139	Milciclib
CHEMBL3544932	SCHEMBL645679	TAK-901
CHEMBL2105728	SCHEMBL2730601	Crenolanib
CHEMBL281948	SCHEMBL968886	k-252a
CHEMBL3545360	SCHEMBL2827739	ASP3026
CHEMBL3545083	SCHEMBL10087436	RGB-286638 free base
CHEMBL2041933	SCHEMBL1127614	AZD7762
CHEMBL1090479	SCHEMBL4305006	GSK1070916
CHEMBL2386889	SCHEMBL2408669	891494-63-6
CHEMBL400402	SCHEMBL4269019	TG 100572
CHEMBL3545396	SCHEMBL1219326	BMS-690514
CHEMBL253969	SCHEMBL187261	252003-65-9
CHEMBL574737	SCHEMBL16946789	UCN-01
CHEMBL2028663	SCHEMBL806377	Dabrafenib
CHEMBL1078178	SCHEMBL2237234	Cyt387
CHEMBL3545328	SCHEMBL4379072	XL-019
CHEMBL1812661	SCHEMBL215523	222638-65-5
CHEMBL2326087	SCHEMBL14879628	CHEMBL2326087
CHEMBL2326086	SCHEMBL14879563	CHEMBL2326086
CHEMBL2326085	SCHEMBL14879526	CHEMBL2326085
CHEMBL2326084	SCHEMBL14879536	CHEMBL2326084
CHEMBL2326099	SCHEMBL14879635	CHEMBL2326099
CHEMBL2326097	SCHEMBL895279	CHEMBL2326097
CHEMBL2326096	SCHEMBL894755	CHEMBL2326096
CHEMBL2326093	SCHEMBL895692	CHEMBL2326093
CHEMBL2326089	SCHEMBL895025	Arginase inhibitor 1
CHEMBL2348486	SCHEMBL895311	SCHEMBL895311
CHEMBL2348487	SCHEMBL895694	SCHEMBL895694
CHEMBL2348488	SCHEMBL895368	SCHEMBL895368
CHEMBL2418992	SCHEMBL895132	CHEMBL2418992
CHEMBL2418997	SCHEMBL895655	CHEMBL2418997
CHEMBL2418996	SCHEMBL895916	CHEMBL2418996
CHEMBL2418995	SCHEMBL894945	CHEMBL2418995
CHEMBL2418994	SCHEMBL895258	CHEMBL2418994
CHEMBL2418993	SCHEMBL895553	CHEMBL2418993
CHEMBL2418828	SCHEMBL14879503	CHEMBL2418828
CHEMBL2418999	SCHEMBL895227	CHEMBL2418999
CHEMBL2418998	SCHEMBL895249	CHEMBL2418998
CHEMBL2418829	SCHEMBL14879614	CHEMBL2418829
CHEMBL2418991	SCHEMBL14879585	CHEMBL2418991
CHEMBL2418830	SCHEMBL14897305	CHEMBL2418830
CHEMBL2418831	SCHEMBL14897424	CHEMBL2418831
CHEMBL4244287	SCHEMBL439378	S-(2-boronoethyl)-L-cysteine
CHEMBL329415	SCHEMBL1476546	12(R)DH-Hete
CHEMBL336546	SCHEMBL458841	154563-54-9
CHEMBL340779	SCHEMBL8561758	CHEMBL340779
CHEMBL1594218	SCHEMBL6368808	MLS000030057
CHEMBL1477100	SCHEMBL12692444	MLS000534832
