chembl	schembl_id	name
CHEMBL473850	SCHEMBL5197314	CHEMBL473850
CHEMBL475639	SCHEMBL5196081	CHEMBL475639
CHEMBL475217	SCHEMBL5192374	CHEMBL475217
CHEMBL482147	SCHEMBL5195641	CHEMBL482147
CHEMBL475378	SCHEMBL5193190	CHEMBL475378
CHEMBL473852	SCHEMBL5192019	CHEMBL473852
CHEMBL475765	SCHEMBL5195778	CHEMBL475765
CHEMBL481336	SCHEMBL5193687	CHEMBL481336
CHEMBL475764	SCHEMBL5192258	CHEMBL475764
CHEMBL475766	SCHEMBL5192959	CHEMBL475766
CHEMBL474193	SCHEMBL5196426	CHEMBL474193
CHEMBL475822	SCHEMBL5193883	CHEMBL475822
CHEMBL444032	SCHEMBL5192156	CHEMBL444032
CHEMBL481493	SCHEMBL5196659	CHEMBL481493
CHEMBL475834	SCHEMBL5194251	CHEMBL475834
CHEMBL475833	SCHEMBL5195353	CHEMBL475833
CHEMBL481335	SCHEMBL5192907	CHEMBL481335
CHEMBL473828	SCHEMBL5195956	CHEMBL473828
CHEMBL516081	SCHEMBL5195805	CHEMBL516081
CHEMBL473643	SCHEMBL5197137	CHEMBL473643
CHEMBL480765	SCHEMBL5196607	CHEMBL480765
CHEMBL475807	SCHEMBL5194841	CHEMBL475807
CHEMBL516038	SCHEMBL5192951	CHEMBL516038
CHEMBL471469	SCHEMBL5192546	CHEMBL471469
CHEMBL471266	SCHEMBL5419308	CHEMBL471266
CHEMBL516918	SCHEMBL5192290	CHEMBL516918
CHEMBL479728	SCHEMBL5196206	CHEMBL479728
CHEMBL472292	SCHEMBL5195475	CHEMBL472292
CHEMBL512725	SCHEMBL5420634	CHEMBL512725
CHEMBL474705	SCHEMBL5195762	CHEMBL474705
CHEMBL474298	SCHEMBL5191709	CHEMBL474298
CHEMBL474297	SCHEMBL5194476	CHEMBL474297
CHEMBL474098	SCHEMBL5195179	CHEMBL474098
CHEMBL475508	SCHEMBL5192410	CHEMBL475508
CHEMBL443938	SCHEMBL5195733	CHEMBL443938
CHEMBL506011	SCHEMBL5197327	CHEMBL506011
